,name,lii,bii,vmag,ra_deg,dec_deg,cluster_id
1194,HIP 76880 ,348.94075442,27.58325915,4.75,235.48674445,-19.67857446,50
1195,HIP 76945 ,338.4816464,16.08435072,4.75,235.67098805,-34.71033325,13
1196,HIP 86486 ,341.88490232,-9.7689063,4.76,265.09888468,-49.41515481,16
1197,HIP 114155,95.12012693,-31.70883212,4.76,346.77807997,25.46833959,76
1198,HIP 84969 ,324.40374145,-17.09749228,4.76,260.49806157,-67.7706496,39
1199,HIP 13244 ,293.35292469,-39.76795592,4.76,42.6189035,-75.06688108,75
1200,HIP 27750 ,204.40936363,-12.22210787,4.76,88.11017813,1.8551579,0
1201,HIP 70264 ,314.63490867,2.32547178,4.76,215.65467485,-58.45915834,43
1202,HIP 63355 ,313.40538371,80.12853032,4.76,194.73110786,17.40936063,30
1203,HIP 38901 ,247.10392298,-0.65257658,4.76,119.41713237,-30.33458703,66
1204,HIP 94703 ,54.74088988,4.40947578,4.76,289.05433156,21.39044277,79
1205,HIP 52370 ,289.56353934,-5.00207811,4.76,160.55893343,-64.4664538,37
